School,Zip Code,Grades,Local District,Board District,complete_address,lat,long,arrest_0.5_mile,arrest_1_mile
Broadacres Avenue Elementary,90746,K- 5,S,7-Dr Richard A Vladovic,19424 S Broadacres Ave Carson CA 90746,33.8541865,-118.23955090000001,0,0
Sven Lokrantz Special Education Center,91335,K- 8,NW,3-Scott M Schmerelson,19451 Wyandotte St Reseda CA 91335,34.203708,-118.55695300000001,8,22
Shirley Avenue Elementary,91335,K- 5,NW,3-Scott M Schmerelson,19452 Hart St Reseda CA 91335,34.19608300000001,-118.55711299999999,8,20
Crestwood Street Elementary,90275,K- 5,S,7-Dr Richard A Vladovic,1946 W Crestwood St Rancho Palos Verdes CA 90275,33.749528000000005,-118.31264540000001,3,6
Chapman Elementary,90249,K- 5,S,7-Dr Richard A Vladovic,1947 Marine Ave Gardena CA 90249,33.8951949,-118.31318119999999,0,0
Florence Griffith Joyner Elem Visual/Perf Arts Magnet,90002,1- 5,S,7-Dr Richard A Vladovic,1963 E 103rd St Los Angeles CA 90002,33.943524,-118.23740359999998,27,71
Chime Institute'S Schwarzenegger Community School,91364,K- 8,XR,4-Nick Melvoin,19722 Collier St Woodland Hills CA 91364,34.165537799999996,-118.56299399999999,3,11
Calvert Charter for Enriched Studies,91367,K- 5,NW,4-Nick Melvoin,19850 Delano St Woodland Hills CA 91367,34.181774,-118.565165,1,22
Ivy Bound Academy M/S/T Charter Middle School #2,91324,5- 7,XR,3-Scott M Schmerelson,20040 Parthenia St Northridge CA 91324,34.2278972,-118.5702232,2,8
Learning by Design Charter,90062,K- 1,XR,1-Dr George J McKenna III,2009 W Ml King Jr Blvd Los Angeles CA 90062,34.0112527,-118.3154645,10,32
3rd Street Elementary,90004,K- 5,W,1-Dr George J McKenna III,201 S June St Los Angeles CA 90004,34.070545,-118.33500929999998,0,8
Norwood Street Elementary,90007,K- 5,C,2-Monica Garcia,2020 Oak St Los Angeles CA 90007,34.0349098,-118.2787451,14,64
Alliance Gertz-Ressler Richard Merkin Acad 6-12 Complex,90007,6-12,XR,2-Monica Garcia,2023 Union Av Los Angeles CA 90007,34.036564299999995,-118.28303429999998,14,60
Griffin Avenue Elementary,90031,K- 5,E,2-Monica Garcia,2025 Griffin Ave Los Angeles CA 90031,34.06812710000001,-118.21195420000001,3,18
Alliance Tennenbaum Family Technology High School,90065,9-12,XR,5-Vacant,2050 N San Fernando Rd Los Angeles CA 90065,34.102259499999995,-118.23739779999998,4,14
Westwood Charter Elementary,90025,K- 5,W,4-Nick Melvoin,2050 Selby Ave Los Angeles CA 90025,34.0473643,-118.42993799999999,7,45
