Arrest Date,Time,Area Name,Age,Sex Code,Descent Code,Arrest Type Code,Charge Description,lat,long,disp_0.5_mile,disp_1_mile,school_0.5_mile,school_1_mile
2017-11-21,1630.0,Van Nuys,20,M,H,M,sell/furnish/etc marij/hash over 1 oz,34.1867,-118.4509,0,1,4,9
2017-11-21,1410.0,West Valley,27,M,H,M,possess 28.5 grams or less of marijuana,34.18,-118.536,0,0,1,7
2017-11-22,1040.0,West LA,26,M,W,M,poss of more than 28.5 grams of marijuana,34.0362,-118.4367,4,6,2,7
2017-11-22,2030.0,Pacific,20,M,W,F,possession marijuana for sale,33.9451,-118.4029,0,1,0,0
2017-11-25,2145.0,Hollywood,24,M,O,M,possess marijuana for sale,34.098,-118.3366,0,5,2,5
2017-11-26,135.0,Hollywood,20,M,O,M,sale/offer to sell/transport marijuana,34.1016,-118.335,2,2,2,5
2017-11-28,1910.0,Hollywood,47,M,W,M,sale/offer to sell/transport marijuana,34.0992,-118.3447,1,3,2,4
2017-11-28,1710.0,Hollywood,38,M,B,M,sale/offer to sell/transport marijuana,34.0998,-118.3288,2,2,1,11
2017-11-28,1710.0,Hollywood,25,M,B,F,transport/sell/furnish/etc marijuana,34.1016,-118.3288,2,2,1,10
2017-11-28,2110.0,Hollywood,21,M,B,F,transport/sell/furnish/etc marijuana,34.0835,-118.3091,3,4,1,12
2017-11-28,1320.0,Northeast,35,M,O,M,cultivating <6 marijuana plants,34.1164,-118.2332,0,0,3,9
2017-11-28,1320.0,Northeast,30,M,O,M,cultivating <6 marijuana plants,34.1164,-118.2332,0,0,3,9
2017-11-28,1310.0,Northeast,57,M,O,M,cultivating <6 marijuana plants,34.1178,-118.2488,0,0,3,6
2017-11-29,2040.0,Hollenbeck,26,M,W,F,unlawfully plant/cultivate/etc marijuana,34.0887,-118.1721,0,0,3,6
2017-11-30,1500.0,Hollywood,20,M,B,I,smoke/ingest marijuana in public place,34.1016,-118.3333,2,2,2,5
2017-11-30,1655.0,Hollywood,58,F,W,I,smoke/ingest marijuana in public place,34.098,-118.3287,2,2,1,12
2017-11-30,1555.0,Pacific,23,M,W,I,smoke marij loc where smoke tobacco proh,33.9858,-118.4727,1,2,1,3
2017-11-30,1700.0,Hollywood,42,M,B,I,smoke/ingest marijuana in public place,34.098,-118.3287,2,2,1,12
2017-11-30,1315.0,Hollywood,32,M,B,I,smoke/ingest marijuana in public place,34.0987,-118.3337,2,4,2,6
2017-11-30,1300.0,Hollywood,28,M,B,I,smoke/ingest marijuana in public place,34.0987,-118.3337,2,4,2,6
2017-12-03,1340.0,Hollywood,25,M,B,M,possess marijuana for sale,34.1016,-118.3417,0,5,2,4
2017-12-03,1340.0,Hollywood,25,M,B,M,possess marijuana for sale,34.1016,-118.3417,0,5,2,4
2017-12-04,1710.0,Pacific,21,M,H,M,sale/offer to sell/transport marijuana,33.9432,-118.4013,0,0,0,0
2017-12-04,1655.0,Pacific,44,M,O,M,sale/offer to sell/transport marijuana,33.9956,-118.4722,3,4,1,3
2017-12-06,2115.0,Pacific,30,M,B,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2017-12-07,1940.0,Pacific,20,M,H,F,transport/sell/furnish/etc marijuana,33.943,-118.4035,0,0,0,0
2017-12-10,1315.0,Hollenbeck,18,M,H,F,transport/sell/furnish/etc marijuana,34.0287,-118.1999,1,5,4,20
2017-12-12,1430.0,Van Nuys,26,F,H,M,cultivating <6 marijuana plants,34.1837,-118.4465,0,1,2,7
2017-12-12,1400.0,Van Nuys,52,M,H,M,cultivating <6 marijuana plants,34.1837,-118.4465,0,1,2,7
2017-12-13,1700.0,Southeast,40,M,B,F,possession marijuana for sale,33.9431,-118.2348,0,0,4,18
2017-12-13,1605.0,Central,23,F,W,M,sale/offer to sell/transport marijuana,34.0495,-118.2563,4,14,2,15
